|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  1115.38        2500.00                 NaN            NaN   50.0348        1.38444        30.3808        10.1285        4.71262        3.35886     
  1112.18        2500.00                 NaN            NaN   50.0345        1.38447        30.3809        10.1284        4.71266        3.35905     
  1108.97        2500.00                 NaN            NaN   50.0341        1.38450        30.3810        10.1284        4.71269        3.35924     
  1105.77        2500.00                 NaN            NaN   50.0338        1.38453        30.3811        10.1284        4.71272        3.35942     
  1102.56        2500.00                 NaN            NaN   50.0150        1.44094        30.3988        10.1188        4.60788        3.41861     
  1099.36        2500.00                 NaN            NaN   50.0147        1.44098        30.3989        10.1187        4.60792        3.41880     
  1096.15        2500.00                 NaN            NaN   50.0144        1.44101        30.3990        10.1187        4.60795        3.41899     
  1092.95        2500.00                 NaN            NaN   50.0140        1.44104        30.3990        10.1187        4.60798        3.41918     
  1089.74        2500.00                 NaN            NaN   50.0137        1.44108        30.3991        10.1187        4.60802        3.41937     
  1086.54        2500.00                 NaN            NaN   50.0134        1.44111        30.3992        10.1187        4.60805        3.41956     
  1083.33        2500.00                 NaN            NaN   50.0131        1.44114        30.3993        10.1186        4.60809        3.41975     
  1080.13        2500.00                 NaN            NaN   50.0128        1.44117        30.3994        10.1186        4.60812        3.41994     
  1076.92        2500.00                 NaN            NaN   49.9843        1.50126        30.4306        10.1142        4.50287        3.46677     
  1073.72        2500.00                 NaN            NaN   49.9840        1.50129        30.4307        10.1142        4.50291        3.46696     
  1070.51        2500.00                 NaN            NaN   49.9837        1.50132        30.4308        10.1142        4.50294        3.46715     
  1067.31        2500.00                 NaN            NaN   49.9833        1.50136        30.4308        10.1141        4.50297        3.46734     
  1064.10        2500.00                 NaN            NaN   49.9830        1.50139        30.4309        10.1141        4.50301        3.46754     
  1060.90        2500.00                 NaN            NaN   49.9827        1.50143        30.4310        10.1141        4.50304        3.46773     
  1057.69        2500.00                 NaN            NaN   49.9824        1.50146        30.4311        10.1141        4.50308        3.46792     
  1054.49        2500.00                 NaN            NaN   49.9821        1.50149        30.4312        10.1141        4.50311        3.46811     
  1051.28        2500.00                 NaN            NaN   49.9394        1.56759        30.4798        10.1177        4.39786        3.49767     
  1048.08        2500.00                 NaN            NaN   49.9391        1.56763        30.4799        10.1177        4.39790        3.49787     
  1044.87        2500.00                 NaN            NaN   49.9387        1.56766        30.4800        10.1177        4.39793        3.49806     
  1041.67        2500.00                 NaN            NaN   49.9384        1.56770        30.4800        10.1176        4.39796        3.49826     
  1038.46        2500.00                 NaN            NaN   49.9381        1.56773        30.4801        10.1176        4.39800        3.49845     
  1035.26        2500.00                 NaN            NaN   49.9377        1.56777        30.4802        10.1176        4.39803        3.49864     
  1032.05        2500.00                 NaN            NaN   49.9374        1.56780        30.4803        10.1176        4.39807        3.49884     
  1028.85        2500.00                 NaN            NaN   49.9371        1.56784        30.4804        10.1176        4.39810        3.49903     
  1025.64        2500.00                 NaN            NaN   49.8811        1.63906        30.5483        10.1332        4.28798        3.51041     
  1022.44        2500.00                 NaN            NaN   49.8808        1.63910        30.5484        10.1331        4.28802        3.51060     
  1019.23        2500.00                 NaN            NaN   49.8804        1.63914        30.5485        10.1331        4.28805        3.51080     
  1016.03        2500.00                 NaN            NaN   49.8801        1.63917        30.5486        10.1331        4.28809        3.51099     
  1012.82        2500.00                 NaN            NaN   49.8798        1.63921        30.5486        10.1331        4.28812        3.51118     
  1009.62        2500.00                 NaN            NaN   49.8794        1.63924        30.5487        10.1331        4.28816        3.51138     
  1006.41        2500.00                 NaN            NaN   49.8791        1.63928        30.5488        10.1330        4.28820        3.51157     
  1003.21        2500.00                 NaN            NaN   49.8788        1.63932        30.5489        10.1330        4.28823        3.51176     
  1000.00        2500.00                 NaN            NaN   49.8076        1.71778        30.6337        4.17926        10.1572        3.50452     
