|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        iron           O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1341.88        2500.00        99.3645                 NaN            NaN  0.221564E-002            NaN            NaN  0.161843       0.258632                 NaN            NaN  0.212781                 NaN            NaN            NaN
  1340.35        2500.00        99.3720                 NaN            NaN  0.195778E-002            NaN            NaN  0.257543       0.158402                 NaN            NaN  0.210089                 NaN            NaN            NaN
  1338.83        2500.00        99.3796                 NaN            NaN  0.177295E-002            NaN            NaN  0.155295       0.255943                 NaN            NaN  0.207367                 NaN            NaN            NaN
  1337.30        2500.00        99.3864                 NaN            NaN  0.151500E-002            NaN            NaN  0.151952       0.255206                 NaN            NaN  0.204891                 NaN            NaN            NaN
  1335.77        2500.00        99.3935                 NaN            NaN  0.130564E-002            NaN            NaN  0.254122       0.148784                 NaN            NaN  0.202327                 NaN            NaN            NaN
  1334.25        2500.00        99.4001                 NaN            NaN  0.107927E-002            NaN            NaN  0.145735       0.253158                 NaN            NaN  0.199976                 NaN            NaN            NaN
  1332.72        2500.00        99.4064                 NaN            NaN  0.855015E-003            NaN            NaN  0.252595       0.142558                 NaN            NaN  0.197641                 NaN            NaN            NaN
  1331.19        2500.00        99.4131                 NaN            NaN  0.621645E-003            NaN            NaN  0.139058       0.251966                 NaN            NaN  0.195284                 NaN            NaN            NaN
  1329.67        2500.00        99.4188                 NaN            NaN  0.398307E-003            NaN            NaN  0.251335       0.136289                 NaN            NaN  0.193197                 NaN            NaN            NaN
  1328.14        2500.00        99.4254                 NaN            NaN  0.165316E-003            NaN            NaN  0.132780       0.250859                 NaN            NaN  0.190761                 NaN            NaN            NaN
  1326.62        2500.00        99.4307                 NaN            NaN  0.315166E-004            NaN            NaN  0.130145       0.250147                 NaN            NaN  0.188946                 NaN            NaN            NaN
  1325.09        2500.00        99.4366                 NaN            NaN            NaN            NaN            NaN  0.127326       0.248941                 NaN            NaN  0.187092                 NaN            NaN            NaN
  1323.56        2500.00        99.4419                 NaN            NaN            NaN            NaN            NaN  0.125171       0.247501                 NaN            NaN  0.185442                 NaN            NaN            NaN
  1322.04        2500.00        99.4473                 NaN            NaN            NaN            NaN            NaN  0.122980       0.246008                 NaN            NaN  0.183737                 NaN            NaN            NaN
  1320.51        2500.00        99.4525                 NaN            NaN  0.122561E-002            NaN            NaN  0.125242       0.237476                 NaN            NaN  0.183598                 NaN            NaN            NaN
  1318.98        2500.00        99.4583                 NaN            NaN            NaN            NaN            NaN  0.243481       0.117846                 NaN            NaN  0.180359                 NaN            NaN            NaN
  1317.46        2500.00        97.2116                 NaN            NaN  0.280205E-002            NaN            NaN  0.284373       0.559943                 NaN            NaN  0.438263        1.50305                 NaN            NaN
  1315.93        2500.00        85.4772                 NaN            NaN  0.500998E-001            NaN            NaN   1.29715        1.98534                 NaN            NaN   1.82112        9.36908                 NaN            NaN
  1314.41        2500.00        87.5899                 NaN            NaN  0.389897E-001            NaN            NaN   1.70735        1.11251                 NaN            NaN   1.56005        7.99117                 NaN            NaN
  1312.88        2500.00        89.1805                 NaN            NaN  0.305729E-001            NaN            NaN  0.968661        1.50262                 NaN            NaN   1.36372        6.95391                 NaN            NaN
  1311.35        2500.00        90.4137                 NaN            NaN  0.239987E-001            NaN            NaN  0.854736        1.34662                 NaN            NaN   1.21171        6.14923                 NaN            NaN
  1309.83        2500.00        91.3984                 NaN            NaN  0.187296E-001            NaN            NaN   1.22400       0.761932                 NaN            NaN   1.09037        5.50661                 NaN            NaN
  1308.30        2500.00        92.1986                 NaN            NaN  0.143407E-001            NaN            NaN   1.12780       0.683390                 NaN            NaN  0.991857        4.98396                 NaN            NaN
  1306.77        2500.00        51.1183                 NaN            NaN            NaN            NaN            NaN   3.88001        4.96115                 NaN            NaN   6.22812        32.3077        1.50470                 NaN
  1305.25        2500.00        88.9118                 NaN            NaN            NaN            NaN            NaN  0.810359        1.11740                 NaN            NaN   1.41251        7.39114       0.356759                 NaN
  1303.72        2500.00        96.7604                 NaN            NaN            NaN            NaN            NaN  0.277617       0.290501                 NaN            NaN  0.408249        2.15574       0.107538                 NaN
  1302.20        2500.00        98.2298                 NaN            NaN            NaN            NaN            NaN  0.175939       0.138480                 NaN            NaN  0.220775        1.17359       0.613761E-001            NaN
  1300.67        2500.00        98.7866                 NaN            NaN            NaN            NaN            NaN  0.139088       0.797431E-001            NaN            NaN  0.149718       0.800487       0.444018E-001            NaN
  1299.14        2500.00        99.0564                 NaN            NaN            NaN            NaN            NaN  0.499679E-001  0.122848                 NaN            NaN  0.115232       0.618968       0.365953E-001            NaN
  1297.62        2500.00        99.2038                 NaN            NaN            NaN            NaN            NaN  0.116202       0.319129E-001            NaN            NaN  0.962752E-001  0.519104       0.327092E-001            NaN
  1296.09        2500.00        99.2869                 NaN            NaN            NaN            NaN            NaN  0.116148       0.187571E-001            NaN            NaN  0.853571E-001  0.461863       0.309952E-001            NaN
  1294.56        2500.00        98.6237                 NaN            NaN            NaN            NaN            NaN  0.284252E-001  0.226141                 NaN            NaN  0.171626       0.885564       0.645410E-001            NaN
  1293.04        2500.00        99.5363                 NaN            NaN            NaN            NaN            NaN  0.579234E-001  0.703923E-002            NaN            NaN  0.597126E-001  0.328361       0.107024E-001            NaN
  1291.51        2500.00        99.8509                 NaN            NaN            NaN            NaN            NaN  0.645326E-001            NaN            NaN            NaN  0.108655E-001  0.631950E-001  0.105224E-001            NaN
  1289.99        2500.00        99.3986                 NaN            NaN            NaN            NaN            NaN  0.693800E-001            NaN            NaN            NaN  0.650090E-001  0.431194       0.358247E-001            NaN
  1288.46        2500.00        99.2650                 NaN            NaN            NaN            NaN            NaN  0.206797                 NaN            NaN            NaN  0.881889E-001  0.406811       0.332295E-001            NaN
  1286.93        2500.00        99.2276                 NaN            NaN            NaN            NaN            NaN  0.162739                 NaN            NaN            NaN  0.902469E-001  0.481005       0.383741E-001            NaN
  1285.41        2500.00        99.0908                 NaN            NaN            NaN            NaN            NaN  0.159349                 NaN            NaN            NaN  0.984415E-001  0.599372       0.520661E-001            NaN
  1283.88        2500.00        98.9663                 NaN            NaN            NaN            NaN            NaN  0.259579                 NaN            NaN            NaN  0.126784       0.604186       0.431259E-001            NaN
  1282.35        2500.00        98.5701                 NaN            NaN            NaN            NaN            NaN  0.326560                 NaN            NaN            NaN  0.165664       0.868991       0.686519E-001            NaN
  1280.83        2500.00        79.0751        17.8723                 NaN            NaN            NaN            NaN  0.750297                 NaN            NaN            NaN  0.357465        1.80851       0.136365                 NaN
  1279.30        2500.00        67.2521                 NaN            NaN            NaN            NaN            NaN   8.53494                 NaN            NaN            NaN   3.85847        18.9891        1.36533                 NaN
  1277.78        2500.00        96.7170                 NaN            NaN            NaN            NaN            NaN  0.528373                 NaN            NaN            NaN  0.403172        2.21449       0.136935                 NaN
  1276.25        2500.00        96.5342                 NaN            NaN            NaN            NaN            NaN  0.570604                 NaN            NaN            NaN  0.477807        2.24823       0.169173                 NaN
  1274.72        2500.00        98.2868                 NaN            NaN            NaN            NaN            NaN  0.378557                 NaN            NaN            NaN  0.121762        1.17328       0.395771E-001            NaN
  1273.20        2500.00        97.2997                 NaN            NaN            NaN            NaN            NaN  0.478338                 NaN            NaN            NaN  0.326238        1.79057       0.105143                 NaN
  1271.67        2500.00        97.6746                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.213043        2.04834       0.639778E-001            NaN
  1270.14        2500.00        97.0142                 NaN            NaN            NaN            NaN            NaN  0.904348                 NaN            NaN            NaN  0.426011        1.50689       0.148593                 NaN
  1268.62        2500.00        97.0607                 NaN            NaN            NaN            NaN            NaN  0.519549                 NaN            NaN            NaN  0.359123        1.96157       0.990171E-001            NaN
  1267.09        2500.00        97.1539                 NaN            NaN            NaN            NaN            NaN  0.478474                 NaN            NaN            NaN  0.345148        1.92361       0.988216E-001            NaN
  1265.57        2500.00        89.6284                 NaN            NaN            NaN            NaN            NaN  0.382322        1.35765                 NaN            NaN   1.27175        6.98170       0.378180                 NaN
  1264.04        2500.00        99.9478                 NaN            NaN            NaN            NaN            NaN  0.276139E-002  0.330283E-001            NaN            NaN            NaN  0.163669E-001            NaN            NaN
  1262.51        2500.00        99.8472                 NaN            NaN            NaN            NaN            NaN  0.730085E-001            NaN            NaN            NaN            NaN  0.710210E-001  0.881406E-002            NaN
  1260.99        2500.00        99.6626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.595209E-001  0.268644       0.925369E-002            NaN
  1259.46        2500.00        99.3862                 NaN            NaN            NaN            NaN            NaN  0.403091E-001  0.106839       0.115692E-005            NaN  0.811509E-001  0.369354       0.161159E-001            NaN
  1257.93        2500.00        98.9861                 NaN            NaN  0.193370E-001            NaN            NaN  0.231268E-001            NaN            NaN            NaN  0.110248       0.464245                 NaN  0.396908     
  1256.41        2500.00        99.8037                 NaN            NaN            NaN            NaN            NaN  0.225587E-001            NaN            NaN            NaN  0.163853E-001  0.924027E-001  0.299132E-002  0.619740E-001
  1254.88        2500.00        86.2716                 NaN            NaN            NaN            NaN            NaN   1.44735                 NaN            NaN            NaN   1.12605        6.63999       0.255744        4.25929     
  1253.36        2500.00        89.5593                 NaN            NaN            NaN            NaN            NaN  0.918287                 NaN            NaN            NaN  0.875878        5.03594       0.179510        3.43108     
  1251.83        2500.00        87.1581                 NaN            NaN            NaN            NaN            NaN  0.993319                 NaN            NaN            NaN   1.05311        6.14348       0.196704        4.45527     
  1250.30        2500.00        91.4096                 NaN            NaN            NaN            NaN            NaN  0.623761                 NaN            NaN            NaN  0.654779        4.31919       0.181985        2.81066     
  1248.78        2500.00        92.2367                 NaN            NaN            NaN            NaN            NaN  0.646062                 NaN            NaN            NaN  0.626166        3.80350       0.135326        2.55223     
  1247.25        2500.00        81.8208                 NaN            NaN            NaN            NaN            NaN   2.23572       0.193816                 NaN            NaN   1.74314        8.08315       0.150381        5.77295     
  1245.72        2500.00        99.5484                 NaN            NaN            NaN            NaN            NaN  0.209583E-001  0.275190E-001            NaN            NaN  0.518241E-001  0.238044                 NaN  0.113245     
  1244.20        2500.00        98.7076                 NaN            NaN            NaN            NaN            NaN  0.151382E-001  0.455930E-001            NaN            NaN  0.766234E-001  0.642707       0.329961E-001  0.479294     
  1242.67        2500.00        81.8831                 NaN            NaN            NaN            NaN            NaN   1.61258                 NaN            NaN            NaN   1.47363        8.76805       0.274131        5.98853     
  1241.15        2500.00        84.0598                 NaN            NaN            NaN            NaN            NaN   1.31403                 NaN            NaN            NaN   1.25724        7.79351       0.234424        5.34102     
  1239.62        2500.00        99.0135                 NaN            NaN            NaN            NaN            NaN  0.720388E-001            NaN            NaN            NaN  0.780274E-001  0.490800       0.132609E-001  0.332326     
  1238.09        2500.00        82.1703                 NaN            NaN            NaN            NaN            NaN   1.37767                 NaN            NaN            NaN   1.33699        8.83845       0.247971        6.02859     
  1236.57        2500.00        76.3233                 NaN            NaN            NaN            NaN            NaN   1.78608                 NaN            NaN            NaN   1.77305        11.7954       0.286826        8.03531     
  1235.04        2500.00        30.2285                 NaN            NaN  0.117903E-001            NaN            NaN   5.80321                 NaN            NaN            NaN   5.33488        34.0616       0.698482        23.8615     
  1233.51        2500.00        63.4219                 NaN            NaN  0.150644                 NaN            NaN   2.80466                 NaN            NaN            NaN   2.75253        17.8237       0.339243        12.7073     
  1231.99        2500.00                 NaN            NaN            NaN  0.397357                 NaN            NaN   7.64866                 NaN            NaN            NaN   7.44305        48.3026       0.893707        35.3147     
  1230.46        2500.00                 NaN            NaN            NaN  0.386157                 NaN            NaN   7.71133                 NaN            NaN            NaN   7.45186        48.2776       0.891829        35.2812     
  1228.94        2500.00                 NaN            NaN            NaN  0.375255                 NaN            NaN   7.77488                 NaN            NaN            NaN   7.45624        48.2565       0.888405        35.2487     
  1227.41        2500.00                 NaN            NaN            NaN  0.412034                 NaN            NaN   7.10701       0.427724                 NaN            NaN   7.42858        48.3650       0.902732        35.3570     
  1225.88        2500.00                 NaN            NaN            NaN  0.404424                 NaN            NaN   7.15453       0.422893                 NaN            NaN   7.43262        48.3499       0.901155        35.3345     
  1224.36        2500.00                 NaN            NaN            NaN  0.396420                 NaN            NaN   7.20916       0.413135                 NaN            NaN   7.43690        48.3341       0.899486        35.3108     
  1222.83        2500.00                 NaN            NaN            NaN  0.387913                 NaN            NaN   7.26668       0.403291                 NaN            NaN   7.44145        48.3175       0.897697        35.2855     
  1221.30        2500.00                 NaN            NaN            NaN  0.378576                 NaN            NaN   7.30445       0.417930                 NaN            NaN   7.44648        48.2993       0.895708        35.2576     
  1219.78        2500.00                 NaN            NaN            NaN  0.368574                 NaN            NaN   7.34623       0.432268                 NaN            NaN   7.45186        48.2799       0.893564        35.2276     
  1218.25        2500.00                 NaN            NaN            NaN  0.357812                 NaN            NaN   7.39250       0.446333                 NaN            NaN   7.45765        48.2592       0.891246        35.1953     
  1216.73        2500.00                 NaN            NaN            NaN  0.346196                 NaN            NaN   7.44469       0.459197                 NaN            NaN   7.46385        48.2371       0.888737        35.1602     
  1215.20        2500.00                 NaN            NaN            NaN  0.333636                 NaN            NaN   7.50434       0.469778       0.970766E-006            NaN   7.47047        48.2136       0.886026        35.1222     
  1213.67        2500.00                 NaN            NaN            NaN  0.320083                 NaN            NaN   7.57245       0.477290       0.102484E-005            NaN   7.47747        48.1886       0.883116        35.0810     
  1212.15        2500.00                 NaN            NaN            NaN  0.305583                 NaN            NaN   7.64866       0.481784       0.108864E-005            NaN   7.48473        48.1624       0.880031        35.0368     
  1210.62        2500.00                 NaN            NaN            NaN  0.290285                 NaN            NaN   7.73091       0.484461       0.116483E-005            NaN   7.49216        48.1354       0.876815        34.9900     
  1209.09        2500.00                 NaN            NaN            NaN  0.274319                 NaN            NaN   7.81704       0.486800       0.125610E-005            NaN   7.49970        48.1076       0.873493        34.9411     
  1207.57        2500.00                 NaN            NaN            NaN  0.257687                 NaN            NaN   7.90643       0.489449       0.136432E-005            NaN   7.50744        48.0789       0.870053        34.8901     
  1206.04        2500.00                 NaN            NaN            NaN  0.240290                 NaN            NaN   7.99995       0.492135       0.148642E-005            NaN   7.51548        48.0491       0.866462        34.8366     
  1204.52        2500.00                 NaN            NaN            NaN  0.347807E-001            NaN            NaN   5.70591        3.93768       0.134866E-005            NaN   7.61671        47.6924       0.817929        34.1945     
  1202.99        2500.00                 NaN            NaN            NaN  0.203475                 NaN            NaN   8.20412       0.492330       0.924768E-004            NaN   7.53310        47.9848       0.858626        34.7234     
  1201.46        2500.00                 NaN            NaN            NaN  0.182569                 NaN            NaN   8.31820       0.493765       0.112837E-003            NaN   7.54294        47.9493       0.854269        34.6588     
  1199.94        2500.00                 NaN            NaN            NaN  0.160172                 NaN            NaN   8.44446       0.491355                 NaN            NaN   7.55363        47.9113       0.849579        34.5895     
  1198.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   7.50334        2.32275       0.307651E-003            NaN   7.62228        47.6477       0.814469        34.0891     
  1196.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   5.89023        3.96869       0.150812E-005            NaN   7.65552        47.5805       0.807636        34.0974     
  1195.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   6.78712        3.06188       0.156686E-005            NaN   7.65205        47.5936       0.809539        34.0958     
  1193.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   8.89756       0.917378                 NaN            NaN   7.61728        47.6631       0.816206        34.0884     
  1192.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   9.32745       0.490971       0.172743E-004            NaN   7.63073        47.6452       0.815577        34.0900     
  1190.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   9.75363       0.401696E-001  0.282652E-001  0.206355E-005   7.64854        47.6240       0.814303        34.0910     
  1189.25        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.604205        9.19316       0.141572E-001            NaN   7.64857        47.6367       0.814838        34.0883     
  1187.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   6.22718        3.62277                 NaN            NaN   7.66342        47.5781       0.808671        34.0998     
  1186.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   4.37705        5.48940                 NaN            NaN   7.67087        47.5519       0.805618        34.1051     
  1184.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.64874        7.23556                 NaN            NaN   7.67915        47.5233       0.802356        34.1109     
  1183.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.50994        7.37789                 NaN            NaN   7.68199        47.5158       0.801581        34.1128     
  1181.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.48290        7.40741                 NaN            NaN   7.68437        47.5099       0.801001        34.1144     
  1180.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.45482        7.43797                 NaN            NaN   7.68676        47.5040       0.800416        34.1160     
  1178.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.42581        7.46950                 NaN            NaN   7.68916        47.4981       0.799825        34.1177     
  1177.04        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.39577        7.50207                 NaN            NaN   7.69157        47.4921       0.799230        34.1193     
  1175.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.36455        7.53586                 NaN            NaN   7.69398        47.4861       0.798631        34.1209     
  1173.99        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.33226        7.57075                 NaN            NaN   7.69641        47.4800       0.798026        34.1226     
  1172.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.29858        7.60705                 NaN            NaN   7.69885        47.4739       0.797416        34.1242     
  1170.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.26395        7.64431                 NaN            NaN   7.70130        47.4678       0.796802        34.1259     
  1169.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.22808        7.68286                 NaN            NaN   7.70375        47.4616       0.796182        34.1275     
  1167.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.19094        7.72270                 NaN            NaN   7.70622        47.4554       0.795557        34.1292     
  1166.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.15279        7.76357                 NaN            NaN   7.70870        47.4491       0.794927        34.1309     
  1164.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.11332        7.80580                 NaN            NaN   7.71119        47.4428       0.794292        34.1326     
  1163.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.07253        7.84937                 NaN            NaN   7.71370        47.4365       0.793652        34.1342     
  1161.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.03052        7.89419                 NaN            NaN   7.71621        47.4301       0.793006        34.1359     
  1160.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.98725        7.94030                 NaN            NaN   7.71874        47.4237       0.792356        34.1376     
  1158.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.94277        7.98765                 NaN            NaN   7.72128        47.4173       0.791699        34.1394     
  1157.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.89701        8.03630                 NaN            NaN   7.72383        47.4108       0.791037        34.1411     
  1155.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.85013        8.08611                 NaN            NaN   7.72639        47.4042       0.790370        34.1428     
  1154.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.80200        8.13720                 NaN            NaN   7.72897        47.3976       0.789697        34.1445     
  1152.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.75268        8.18947                 NaN            NaN   7.73156        47.3910       0.789017        34.1463     
  1151.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.70213        8.24304                 NaN            NaN   7.73417        47.3843       0.788332        34.1480     
  1149.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.65068        8.29753                 NaN            NaN   7.73679        47.3776       0.787641        34.1498     
  1148.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.59814        8.35314                 NaN            NaN   7.73942        47.3708       0.786943        34.1515     
  1146.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.54447        8.40991                 NaN            NaN   7.74207        47.3640       0.786240        34.1533     
  1144.99        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.48995        8.46757                 NaN            NaN   7.74474        47.3571       0.785530        34.1551     
  1143.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.43446        8.52622                 NaN            NaN   7.74742        47.3502       0.784813        34.1569     
  1141.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.37814        8.58573                 NaN            NaN   7.75012        47.3433       0.784090        34.1586     
  1140.41        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.32099        8.64611                 NaN            NaN   7.75283        47.3363       0.783360        34.1604     
  1138.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.26302        8.70733                 NaN            NaN   7.75557        47.3292       0.782622        34.1622     
  1137.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.20431        8.76933                 NaN            NaN   7.75832        47.3221       0.781878        34.1640     
  1135.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.14495        8.83201                 NaN            NaN   7.76109        47.3150       0.781127        34.1659     
  1134.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.08498        8.89533                 NaN            NaN   7.76388        47.3078       0.780369        34.1677     
  1132.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.02452        8.95917                 NaN            NaN   7.76669        47.3005       0.779603        34.1695     
  1131.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.963583        9.02352                 NaN            NaN   7.76951        47.2932       0.778830        34.1713     
  1129.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.902199        9.08835                 NaN            NaN   7.77236        47.2859       0.778050        34.1732     
  1128.20        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.840625        9.15337                 NaN            NaN   7.77523        47.2785       0.777261        34.1750     
  1126.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.778661        9.21885                 NaN            NaN   7.77812        47.2710       0.776466        34.1769     
  1125.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.716749        9.28430                 NaN            NaN   7.78103        47.2635       0.775663        34.1788     
  1123.63        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.649541        9.35519                 NaN            NaN   7.78252        47.2568       0.775164        34.1807     
  1122.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   4.36910        4.83689       0.735509                 NaN   7.74994        47.3580       0.785461        34.1651     
  1120.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   4.34071        4.89238       0.710894                 NaN   7.75203        47.3524       0.784884        34.1667     
  1119.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   4.31222        4.94793       0.686309                 NaN   7.75411        47.3468       0.784309        34.1683     
  1117.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN  0.318486       0.321652        9.38265                 NaN   7.79975        47.2183       0.770285        34.1889     
  1115.99        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.72069        8.28357       0.196186E-005            NaN   7.78859        47.2490       0.773489        34.1846     
  1114.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.65468        8.35321       0.193547E-005            NaN   7.79150        47.2414       0.772672        34.1865     
  1112.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.58912        8.42243       0.190933E-005            NaN   7.79442        47.2338       0.771850        34.1884     
  1111.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.52387        8.49137       0.188373E-005            NaN   7.79737        47.2261       0.771021        34.1903     
  1109.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.45916        8.55979       0.185857E-005            NaN   7.80033        47.2184       0.770187        34.1922     
  1108.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.39497        8.62772       0.183377E-005            NaN   7.80331        47.2106       0.769346        34.1941     
  1106.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.0828                 NaN            NaN            NaN   7.84543        47.1100       0.751958        34.2098     
  1105.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   9.34138       0.731232                 NaN            NaN   7.83698        47.1224       0.758729        34.2093     
  1103.78        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.0789                 NaN            NaN            NaN   7.84105        47.1111       0.757591        34.2114     
  1102.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.14483        8.89307       0.174094E-005            NaN   7.81541        47.1790       0.765918        34.2018     
  1100.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   1.08414        8.95763       0.171922E-005            NaN   7.81849        47.1710       0.765045        34.2037     
  1099.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.24137        7.77378       0.169182E-005            NaN   7.80066        47.2146       0.770928        34.1987     
  1097.68        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.21779        7.80032       0.166423E-005            NaN   7.80320        47.2082       0.770174        34.2003     
  1096.15        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.19533        7.82574       0.163698E-005            NaN   7.80574        47.2018       0.769420        34.2020     
  1094.63        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.17399        7.85004       0.161012E-005            NaN   7.80828        47.1954       0.768664        34.2036     
  1093.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.15379        7.87321       0.159914E-005            NaN   7.81082        47.1890       0.767908        34.2053     
  1091.57        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.13476        7.89520       0.157286E-005            NaN   7.81336        47.1826       0.767151        34.2069     
  1090.05        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.11686        7.91606       0.154705E-005            NaN   7.81590        47.1762       0.766393        34.2086     
  1088.52        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   2.10017        7.93572       0.152172E-005            NaN   7.81843        47.1698       0.765634        34.2102     
  1087.00        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1154                 NaN            NaN            NaN   7.87182        47.0332       0.748808        34.2308     
  1085.47        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1082                 NaN            NaN            NaN   7.86939        47.0426       0.749731        34.2301     
  1083.94        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1079                 NaN            NaN            NaN   7.86710        47.0431       0.750815        34.2312     
  1082.42        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1103                 NaN            NaN            NaN   7.87117        47.0354       0.750180        34.2329     
  1080.89        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1224                 NaN            NaN            NaN   7.87849        47.0154       0.747191        34.2365     
  1079.36        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1333                 NaN            NaN            NaN   7.88648        46.9957       0.744617        34.2400     
  1077.84        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1326                 NaN            NaN            NaN   7.88631        46.9954       0.744842        34.2408     
  1076.31        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1324                 NaN            NaN            NaN   7.88671        46.9943       0.744844        34.2418     
  1074.79        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1362                 NaN            NaN            NaN   7.88975        46.9865       0.743958        34.2437     
  1073.26        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN   10.1399                 NaN            NaN            NaN   7.89281        46.9786       0.743062        34.2455     
