|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1319.74        2500.00                 NaN   98.7995                 NaN            NaN  0.230998       0.581225                 NaN            NaN            NaN  0.320866       0.674548E-001            NaN            NaN
  1318.25        2500.00                 NaN   98.8139                 NaN            NaN  0.228953       0.574032                 NaN            NaN            NaN  0.316934       0.661832E-001            NaN            NaN
  1316.75        2500.00                 NaN   98.8283                 NaN            NaN  0.223213       0.570779                 NaN            NaN            NaN  0.312963       0.647591E-001            NaN            NaN
  1315.26        2500.00                 NaN   98.8419                 NaN            NaN  0.220895       0.565078                 NaN            NaN            NaN  0.308726       0.634246E-001            NaN            NaN
  1313.76        2500.00                 NaN   98.8545                 NaN            NaN  0.220311       0.557332                 NaN            NaN            NaN  0.305484       0.623589E-001            NaN            NaN
  1312.27        2500.00                 NaN   98.8676                 NaN            NaN  0.215631       0.554119                 NaN            NaN            NaN  0.301605       0.610614E-001            NaN            NaN
  1310.77        2500.00                 NaN   98.8802                 NaN            NaN  0.212113       0.549802                 NaN            NaN            NaN  0.298054       0.597898E-001            NaN            NaN
  1309.28        2500.00                 NaN   98.8937                 NaN            NaN  0.209281       0.544105                 NaN            NaN            NaN  0.294263       0.586306E-001            NaN            NaN
  1307.79        2500.00                 NaN   98.9059                 NaN            NaN  0.205481       0.540459                 NaN            NaN            NaN  0.290734       0.573847E-001            NaN            NaN
  1306.29        2500.00                 NaN   98.9180                 NaN            NaN  0.202212       0.536296                 NaN            NaN            NaN  0.287316       0.561834E-001            NaN            NaN
  1304.80        2500.00                 NaN   98.9294                 NaN            NaN  0.199246       0.532286                 NaN            NaN            NaN  0.284038       0.550461E-001            NaN            NaN
  1303.30        2500.00                 NaN   98.9428                 NaN            NaN  0.195870       0.527084                 NaN            NaN            NaN  0.280358       0.539191E-001            NaN            NaN
  1301.81        2500.00                 NaN   98.9538                 NaN            NaN  0.192979       0.523170                 NaN            NaN            NaN  0.277230       0.528017E-001            NaN            NaN
  1300.32        2500.00                 NaN   98.9657                 NaN            NaN  0.189165       0.519162                 NaN            NaN            NaN  0.274210       0.517965E-001            NaN            NaN
  1298.82        2500.00                 NaN   98.9776                 NaN            NaN  0.184627       0.517361                 NaN            NaN            NaN  0.270003       0.503659E-001            NaN            NaN
  1297.33        2500.00                 NaN   72.5266                 NaN            NaN   2.33631        6.11966                 NaN            NaN            NaN   3.70010       0.948223        14.3691                 NaN
  1295.83        2500.00                 NaN   75.7785                 NaN            NaN   2.07847        5.50428                 NaN            NaN            NaN   3.27421       0.817356        12.5472                 NaN
  1294.34        2500.00                 NaN   79.0607                 NaN            NaN   1.79976        4.86175                 NaN            NaN            NaN   2.84271       0.692780        10.7423                 NaN
  1292.85        2500.00                 NaN   81.7902                 NaN            NaN   1.55394        4.32586                 NaN            NaN            NaN   2.48213       0.591891        9.25603                 NaN
  1291.35        2500.00                 NaN   84.0488                 NaN            NaN   1.34500        3.87408                 NaN            NaN            NaN   2.18280       0.510466        8.03885                 NaN
  1289.86        2500.00                 NaN   85.5004                 NaN            NaN   1.12917        3.62723                 NaN            NaN            NaN   1.99230       0.462094        7.28879                 NaN
  1288.36        2500.00                 NaN   87.5512                 NaN            NaN   1.03562        3.19793                 NaN            NaN            NaN   1.71337       0.379794        6.12206                 NaN
  1286.87        2500.00                 NaN   88.7136                 NaN            NaN  0.878520        2.94847                 NaN            NaN            NaN   1.55861       0.345502        5.55528                 NaN
  1285.38        2500.00                 NaN   89.5666                 NaN            NaN  0.766886        2.81153                 NaN            NaN            NaN   1.44417       0.314163        5.09667                 NaN
  1283.88        2500.00                 NaN   90.4984                 NaN            NaN  0.674437        2.60473                 NaN            NaN            NaN   1.31913       0.283436        4.61983                 NaN
  1282.39        2500.00                 NaN   90.1997                 NaN            NaN  0.751592        2.54286                 NaN            NaN            NaN   1.37798       0.302208        4.82563                 NaN
  1280.89        2500.00                 NaN   90.5219                 NaN            NaN  0.633468        2.59753                 NaN            NaN            NaN   1.30611       0.305602        4.63540                 NaN
  1279.40        2500.00                 NaN   91.0536                 NaN            NaN            NaN   1.31402        2.01486                 NaN            NaN   1.22823       0.236015        4.15325                 NaN
  1277.90        2500.00                 NaN   93.4257                 NaN            NaN   1.04213        1.06850                 NaN            NaN            NaN  0.911956       0.210731        3.34100                 NaN
  1276.41        2500.00                 NaN   95.5449                 NaN            NaN            NaN   1.97987                 NaN            NaN            NaN  0.675214       0.551320E-001   1.74491                 NaN
  1274.92        2500.00                 NaN   91.8565                 NaN            NaN  0.643322        1.92348                 NaN            NaN            NaN   1.11463       0.270598        4.19149                 NaN
  1273.42        2500.00                 NaN   87.5264                 NaN            NaN            NaN   2.32889        1.41540       0.807719                 NaN   1.89482       0.316276        5.71053                 NaN
  1271.93        2500.00                 NaN   99.7249                 NaN            NaN            NaN  0.119330                 NaN            NaN            NaN  0.119829E-001            NaN  0.143779                 NaN
  1270.43        2500.00                 NaN   99.7256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.533013E-001  0.200656E-001  0.200997                 NaN
  1268.94        2500.00                 NaN   80.8482                 NaN            NaN            NaN   7.87024                 NaN            NaN            NaN   2.63841       0.334283        8.30883                 NaN
  1267.45        2500.00                 NaN   99.5923                 NaN            NaN            NaN  0.487845E-001  0.191222                 NaN            NaN            NaN  0.266877E-002  0.165057                 NaN
  1265.95        2500.00                 NaN   99.9478                 NaN            NaN            NaN  0.121561E-001            NaN            NaN            NaN            NaN  0.186358E-002  0.381901E-001            NaN
  1264.46        2500.00                 NaN   98.6140                 NaN            NaN            NaN  0.560949                 NaN            NaN            NaN  0.233858       0.181657E-001  0.573051                 NaN
  1262.96        2500.00                 NaN   95.0936                 NaN            NaN            NaN   1.86025                 NaN            NaN            NaN  0.674479       0.117767        2.25393                 NaN
  1261.47        2500.00                 NaN   90.9295                 NaN            NaN            NaN   3.36981                 NaN            NaN            NaN   1.27488       0.233894        4.19187                 NaN
  1259.98        2500.00                 NaN   99.4059                 NaN            NaN            NaN  0.184237                 NaN            NaN            NaN  0.613729E-001  0.847222E-002  0.340050                 NaN
  1258.48        2500.00                 NaN   99.2598                 NaN            NaN            NaN  0.265798                 NaN            NaN            NaN  0.956651E-001  0.150715E-001  0.363619                 NaN
  1256.99        2500.00                 NaN   98.1674                 NaN            NaN            NaN  0.673489                 NaN            NaN            NaN  0.253338       0.516473E-001  0.854105                 NaN
  1255.49        2500.00                 NaN   99.6360                 NaN            NaN            NaN  0.134651                 NaN            NaN            NaN  0.589127E-001            NaN  0.170423                 NaN
  1254.00        2500.00                 NaN   90.9248                 NaN            NaN            NaN   3.42431                 NaN            NaN            NaN   1.25555       0.206612        4.18872                 NaN
  1252.50        2500.00                 NaN   97.1069                 NaN            NaN            NaN   1.07046                 NaN            NaN            NaN  0.396994       0.580962E-001   1.36754                 NaN
  1251.01        2500.00                 NaN   96.0371                 NaN            NaN            NaN   1.43021                 NaN            NaN            NaN  0.564339       0.135130        1.83321                 NaN
  1249.52        2500.00                 NaN   97.4914                 NaN            NaN            NaN  0.886710                 NaN            NaN            NaN  0.297091       0.230174E-001   1.30177                 NaN
  1248.02        2500.00                 NaN   96.5149                 NaN            NaN            NaN   1.31348                 NaN            NaN            NaN  0.487223       0.777687E-001   1.60665                 NaN
  1246.53        2500.00                 NaN   99.1967                 NaN            NaN            NaN  0.301095                 NaN            NaN            NaN  0.919255E-001  0.171410E-001  0.393113                 NaN
  1245.03        2500.00                 NaN   98.3375                 NaN            NaN            NaN  0.302894                 NaN            NaN            NaN  0.176354       0.185700E-001  0.615653       0.549032     
  1243.54        2500.00                 NaN  100.0000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.145194E-005  0.153563E-005
  1242.05        2500.00                 NaN   92.2933                 NaN            NaN            NaN   2.73426                 NaN            NaN            NaN   1.05443       0.178456        3.73958                 NaN
  1240.55        2500.00                 NaN   85.3320                 NaN            NaN            NaN   2.05657       0.495048                 NaN            NaN   1.51953       0.183652        5.95240        4.46077     
  1239.06        2500.00                 NaN   91.1414                 NaN            NaN            NaN   1.61701                 NaN            NaN            NaN  0.858029       0.121828        3.21621        3.04551     
  1237.56        2500.00                 NaN   84.2134                 NaN            NaN            NaN   2.43773        1.68165                 NaN            NaN   1.53715       0.104342        6.19700        3.82877     
  1236.07        2500.00                 NaN   82.1049        9.48756                 NaN            NaN            NaN            NaN            NaN            NaN  0.585511       0.157655        3.67786        3.98650     
  1234.58        2500.00                 NaN   73.7030                 NaN            NaN            NaN   2.02405        4.72505                 NaN            NaN   2.66465       0.234429        10.4389        6.20989     
  1233.08        2500.00                 NaN   87.8652                 NaN            NaN            NaN  0.940776        1.43136                 NaN            NaN   1.19544       0.125272        4.78324        3.65873     
  1231.59        2500.00                 NaN   85.0183                 NaN            NaN            NaN   2.86117                 NaN            NaN            NaN   1.41649       0.147087        6.18377        4.37318     
  1230.09        2500.00                 NaN   80.6825                 NaN            NaN            NaN   3.29649                 NaN            NaN            NaN   1.74347       0.222913        8.12089        5.93377     
  1228.60        2500.00                 NaN   4.66846                 NaN            NaN            NaN   7.75316        7.61454                 NaN            NaN   8.05596        1.03891        41.3757        29.4933     
  1227.10        2500.00                 NaN            NaN            NaN            NaN            NaN   4.43721        11.6109                 NaN            NaN   8.38142        1.11496        43.2932        31.1623     
  1225.61        2500.00                 NaN            NaN            NaN            NaN            NaN   2.28275        13.7621                 NaN            NaN   8.39301        1.11366        43.2859        31.1625     
  1224.12        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0507                 NaN            NaN            NaN   8.40272        1.11102        43.2728        31.1628     
  1222.62        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0525                 NaN            NaN            NaN   8.40689        1.11009        43.2676        31.1629     
  1221.13        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0544                 NaN            NaN            NaN   8.41104        1.10916        43.2624        31.1630     
  1219.63        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0775                 NaN            NaN            NaN   8.41888        1.10140        43.2358        31.1664     
  1218.14        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0845                 NaN            NaN            NaN   8.42602        1.09882        43.2234        31.1673     
  1216.65        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0600                 NaN            NaN            NaN   8.42190        1.10678        43.2482        31.1632     
  1215.15        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0604                 NaN            NaN            NaN   8.43077        1.10712        43.2410        31.1607     
  1213.66        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0659                 NaN            NaN            NaN   8.43135        1.10418        43.2345        31.1641     
  1212.16        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0866                 NaN            NaN            NaN   8.43920        1.09665        43.2105        31.1671     
  1210.67        2500.00                 NaN            NaN            NaN            NaN            NaN   16.1066                 NaN            NaN            NaN   8.45882        1.08716        43.1756        31.1718     
  1209.18        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0917                 NaN            NaN            NaN   8.44770        1.09446        43.1985        31.1677     
  1207.68        2500.00                 NaN            NaN            NaN            NaN            NaN   16.0940                 NaN            NaN            NaN   8.45199        1.09336        43.1928        31.1679     
  1206.19        2500.00                 NaN            NaN            NaN            NaN            NaN   2.31506        13.7560                 NaN            NaN   8.46419        1.09998        43.2009        31.1639     
  1204.69        2500.00                 NaN            NaN            NaN            NaN            NaN   9.26708        6.80757                 NaN            NaN   8.43810        1.10012        43.2201        31.1670     
  1203.20        2500.00                 NaN            NaN            NaN            NaN            NaN   9.20834        6.86826                 NaN            NaN   8.44173        1.09922        43.2152        31.1673     
  1201.70        2500.00                 NaN            NaN            NaN            NaN            NaN   9.13677        6.94190                 NaN            NaN   8.44508        1.09830        43.2104        31.1675     
  1200.21        2500.00                 NaN            NaN            NaN            NaN            NaN   9.08157        6.99919                 NaN            NaN   8.44829        1.09741        43.2057        31.1678     
  1198.72        2500.00                 NaN            NaN            NaN            NaN            NaN   9.01882        7.06351                 NaN            NaN   8.45297        1.09650        43.2002        31.1680     
  1197.22        2500.00                 NaN            NaN            NaN            NaN            NaN   8.94597        7.13920                 NaN            NaN   8.45528        1.09547        43.1956        31.1685     
  1195.73        2500.00                 NaN            NaN            NaN            NaN            NaN   8.90832        7.17773                 NaN            NaN   8.46019        1.09475        43.1906        31.1684     
  1194.23        2500.00                 NaN            NaN            NaN            NaN            NaN   8.84612        7.24187                 NaN            NaN   8.46384        1.09384        43.1856        31.1687     
  1192.74        2500.00                 NaN            NaN            NaN            NaN            NaN   8.78700        7.30296                 NaN            NaN   8.46748        1.09293        43.1807        31.1689     
  1191.25        2500.00                 NaN            NaN            NaN            NaN            NaN   8.72085        7.37110                 NaN            NaN   8.47111        1.09202        43.1757        31.1692     
  1189.75        2500.00                 NaN            NaN            NaN            NaN            NaN   8.65642        7.43758                 NaN            NaN   8.47471        1.09109        43.1707        31.1695     
  1188.26        2500.00                 NaN            NaN            NaN            NaN            NaN   8.59425        7.50186                 NaN            NaN   8.47833        1.09020        43.1656        31.1698     
  1186.76        2500.00                 NaN            NaN            NaN            NaN            NaN   8.52989        7.56812                 NaN            NaN   8.48192        1.08919        43.1609        31.1700     
  1185.27        2500.00                 NaN            NaN            NaN            NaN            NaN   8.46216        7.63772                 NaN            NaN   8.48544        1.08841        43.1561        31.1702     
  1183.78        2500.00                 NaN            NaN            NaN            NaN            NaN   8.40432        7.69789                 NaN            NaN   8.48912        1.08737        43.1507        31.1706     
  1182.28        2500.00                 NaN            NaN            NaN            NaN            NaN   8.33563        7.76858                 NaN            NaN   8.49255        1.08644        43.1460        31.1708     
  1180.79        2500.00                 NaN            NaN            NaN            NaN            NaN   8.27740        7.82898                 NaN            NaN   8.49627        1.08545        43.1408        31.1711     
  1179.29        2500.00                 NaN            NaN            NaN            NaN            NaN   8.21868        7.88989       0.183557E-004            NaN   8.49984        1.08451        43.1356        31.1715     
  1177.80        2500.00                 NaN            NaN            NaN            NaN            NaN   8.15043        7.96039       0.186698E-004            NaN   8.50343        1.08352        43.1304        31.1718     
  1176.31        2500.00                 NaN            NaN            NaN            NaN            NaN   8.09321        8.01971       0.190154E-004            NaN   8.50697        1.08258        43.1254        31.1721     
  1174.81        2500.00                 NaN            NaN            NaN            NaN            NaN   8.03244        8.08272       0.194036E-004            NaN   8.51054        1.08161        43.1203        31.1724     
  1173.32        2500.00                 NaN            NaN            NaN            NaN            NaN   7.96714        8.15028       0.197886E-004            NaN   8.51410        1.08062        43.1151        31.1727     
  1171.82        2500.00                 NaN            NaN            NaN            NaN            NaN   7.90739        8.21231       0.202034E-004            NaN   8.51764        1.07964        43.1100        31.1730     
  1170.33        2500.00                 NaN            NaN            NaN            NaN            NaN   7.84725        8.27476                 NaN            NaN   8.52120        1.07863        43.1048        31.1734     
  1168.83        2500.00                 NaN            NaN            NaN            NaN            NaN   7.78680        8.33753       0.210996E-004            NaN   8.52477        1.07762        43.0996        31.1737     
  1167.34        2500.00                 NaN            NaN            NaN            NaN            NaN   7.72753        8.39907       0.216032E-004            NaN   8.52823        1.07665        43.0945        31.1740     
  1165.85        2500.00                 NaN            NaN            NaN            NaN            NaN   7.67099        8.45801       0.221357E-004            NaN   8.53183        1.07560        43.0891        31.1744     
  1164.35        2500.00                 NaN            NaN            NaN            NaN            NaN   7.61226        8.51914       0.226974E-004            NaN   8.53537        1.07458        43.0839        31.1747     
  1162.86        2500.00                 NaN            NaN            NaN            NaN            NaN   7.55445        8.57912       0.232988E-004            NaN   8.53882        1.07359        43.0789        31.1751     
  1161.36        2500.00                 NaN            NaN            NaN            NaN            NaN   7.49687        8.63935                 NaN            NaN   8.54241        1.07254        43.0734        31.1755     
  1159.87        2500.00                 NaN            NaN            NaN            NaN            NaN   7.44191        8.69672       0.246286E-004            NaN   8.54593        1.07150        43.0681        31.1758     
  1158.38        2500.00                 NaN            NaN            NaN            NaN            NaN   7.38595        8.75515       0.254028E-004            NaN   8.54946        1.07045        43.0628        31.1762     
  1156.88        2500.00                 NaN            NaN            NaN            NaN            NaN   7.33005        8.81354       0.261412E-004            NaN   8.55297        1.06940        43.0574        31.1766     
  1155.39        2500.00                 NaN            NaN            NaN            NaN            NaN   7.27650        8.86959       0.269703E-004            NaN   8.55650        1.06835        43.0521        31.1769     
  1153.89        2500.00                 NaN            NaN            NaN            NaN            NaN   7.21982        8.92883       0.278630E-004            NaN   8.56000        1.06727        43.0467        31.1773     
  1152.40        2500.00                 NaN            NaN            NaN            NaN            NaN   7.16259        8.98865       0.288139E-004            NaN   8.56358        1.06619        43.0412        31.1777     
  1150.91        2500.00                 NaN            NaN            NaN            NaN            NaN   7.11127        9.04259                 NaN            NaN   8.56709        1.06511        43.0358        31.1781     
  1149.41        2500.00                 NaN            NaN            NaN            NaN            NaN   7.06089        9.09555       0.309407E-004            NaN   8.57062        1.06402        43.0304        31.1785     
  1147.92        2500.00                 NaN            NaN            NaN            NaN            NaN   7.00057        9.15859       0.320902E-004            NaN   8.57419        1.06289        43.0248        31.1789     
  1146.42        2500.00                 NaN            NaN            NaN            NaN            NaN   6.94792        9.21394       0.333457E-004            NaN   8.57774        1.06178        43.0192        31.1793     
  1144.93        2500.00                 NaN            NaN            NaN            NaN            NaN   6.89428        9.27031       0.347054E-004            NaN   8.58127        1.06066        43.0137        31.1798     
  1143.43        2500.00                 NaN            NaN            NaN            NaN            NaN   6.84123        9.32616                 NaN            NaN   8.58483        1.05952        43.0081        31.1802     
  1141.94        2500.00                 NaN            NaN            NaN            NaN            NaN   6.78995        9.38019       0.152161E-005            NaN   8.58838        1.05838        43.0025        31.1806     
  1140.45        2500.00                 NaN            NaN            NaN            NaN            NaN   5.07849        10.2959       0.707750                 NaN   8.54145        1.08700        43.1145        31.1749     
  1138.95        2500.00                 NaN            NaN            NaN            NaN            NaN   5.44952        10.7595                 NaN            NaN   8.63128        1.04143        42.9353        31.1829     
  1137.46        2500.00                 NaN            NaN            NaN            NaN            NaN   6.55946        9.61987       0.170819E-004            NaN   8.59968        1.05460        42.9844        31.1819     
  1135.96        2500.00                 NaN            NaN            NaN            NaN            NaN   5.97605        10.2130       0.208944E-004            NaN   8.57404        1.05395        42.9931        31.1898     
  1134.47        2500.00                 NaN            NaN            NaN            NaN            NaN   5.63315        10.4486                 NaN            NaN   8.54619        1.08618        43.1097        31.1762     
  1132.98        2500.00                 NaN            NaN            NaN            NaN            NaN   5.91074        10.1741                 NaN            NaN   8.54680        1.08584        43.1056        31.1769     
  1131.48        2500.00                 NaN            NaN            NaN            NaN            NaN   5.92989        10.1563                 NaN            NaN   8.54945        1.08526        43.1018        31.1773     
  1129.99        2500.00                 NaN            NaN            NaN            NaN            NaN   5.96636        10.1213                 NaN            NaN   8.55198        1.08467        43.0980        31.1777     
  1128.49        2500.00                 NaN            NaN            NaN            NaN            NaN   5.99073        10.0983                 NaN            NaN   8.55462        1.08409        43.0941        31.1781     
  1127.00        2500.00                 NaN            NaN            NaN            NaN            NaN   6.09245        9.99873                 NaN            NaN   8.55674        1.08350        43.0899        31.1786     
  1125.51        2500.00                 NaN            NaN            NaN            NaN            NaN   6.06143        10.0306                 NaN            NaN   8.55969        1.08290        43.0864        31.1790     
  1124.01        2500.00                 NaN            NaN            NaN            NaN            NaN   6.07601        10.0174                 NaN            NaN   8.56236        1.08231        43.0826        31.1794     
  1122.52        2500.00                 NaN            NaN            NaN            NaN            NaN   6.09660        9.99729                 NaN            NaN   8.56449        1.08191        43.0801        31.1796     
  1121.02        2500.00                 NaN            NaN            NaN            NaN            NaN   6.17566        9.92086       0.440102E-004  0.363036E-003   8.56725        1.08108        43.0745        31.1803     
  1119.53        2500.00                 NaN            NaN            NaN            NaN            NaN   6.19910        9.89930                 NaN            NaN   8.56984        1.08048        43.0706        31.1807     
  1118.03        2500.00                 NaN            NaN            NaN            NaN            NaN   6.18356        9.91518       0.830186E-005  0.263475E-005   8.57211        1.08018        43.0680        31.1809     
  1116.54        2500.00                 NaN            NaN            NaN            NaN            NaN  0.177241        16.0949       0.675963E-005            NaN   8.70502        1.01395        42.8191        31.1898     
  1115.05        2500.00                 NaN            NaN            NaN            NaN            NaN  0.332498E-001   16.2213       0.628307E-005            NaN   8.71089        1.01878        42.8249        31.1910     
  1113.55        2500.00                 NaN            NaN            NaN            NaN            NaN   5.52516        10.7034                 NaN            NaN   8.67401        1.03098        42.8778        31.1886     
  1112.06        2500.00                 NaN            NaN            NaN            NaN            NaN   1.03055        15.2365       0.246034E-004            NaN   8.70881        1.01462        42.8190        31.1905     
  1110.56        2500.00                 NaN            NaN            NaN            NaN            NaN   7.47511        8.61954       0.322687E-001            NaN   8.58473        1.07333        43.0305        31.1846     
  1109.07        2500.00                 NaN            NaN            NaN            NaN            NaN   8.00057        8.13644       0.196794E-003            NaN   8.59006        1.07009        43.0174        31.1853     
  1107.58        2500.00                 NaN            NaN            NaN            NaN            NaN   8.02025        8.11903       0.184165E-003            NaN   8.59295        1.06924        43.0126        31.1858     
  1106.08        2500.00                 NaN            NaN            NaN            NaN            NaN   7.83584        7.53986       0.772286                 NaN   8.60183        1.06577        42.9980        31.1864     
  1104.59        2500.00                 NaN            NaN            NaN            NaN            NaN   6.79066        9.44076       0.767927E-005            NaN   8.66611        1.03919        42.8690        31.1943     
  1103.09        2500.00                 NaN            NaN            NaN            NaN            NaN   3.38914        12.8383                 NaN            NaN   8.69949        1.02518        42.8578        31.1902     
  1101.60        2500.00                 NaN            NaN            NaN            NaN            NaN   6.38374        9.52009       0.215175                 NaN   8.60224        1.07241        43.0202        31.1862     
  1100.11        2500.00                 NaN            NaN            NaN            NaN            NaN   6.44960        9.66878       0.507891E-005            NaN   8.60335        1.07256        43.0191        31.1866     
  1098.61        2500.00                 NaN            NaN            NaN            NaN            NaN   2.70065        13.5618       0.599733E-005            NaN   8.72350        1.01421        42.8059        31.1940     
  1097.12        2500.00                 NaN            NaN            NaN            NaN            NaN   2.82725        13.4356       0.586882E-005            NaN   8.72552        1.01389        42.8033        31.1944     
  1095.62        2500.00                 NaN            NaN            NaN            NaN            NaN   2.96080        13.3024       0.573507E-005            NaN   8.72747        1.01354        42.8009        31.1949     
  1094.13        2500.00                 NaN            NaN            NaN            NaN            NaN   6.53235        9.59256       0.382656E-005            NaN   8.61316        1.07022        43.0032        31.1885     
  1092.63        2500.00                 NaN            NaN            NaN            NaN            NaN   6.55089        9.57570       0.428381E-004            NaN   8.61571        1.06958        42.9991        31.1890     
  1091.14        2500.00                 NaN            NaN            NaN            NaN            NaN   6.11935        9.44801       0.566415       0.765551E-005   8.62161        1.06754        42.9870        31.1901     
  1089.65        2500.00                 NaN            NaN            NaN            NaN            NaN   6.43261        9.14844       0.558985                 NaN   8.62156        1.06647        42.9805        31.1914     
  1088.15        2500.00                 NaN            NaN            NaN            NaN            NaN   6.57123        9.41370       0.148834                 NaN   8.62440        1.06696        42.9841        31.1908     
  1086.66        2500.00                 NaN            NaN            NaN            NaN            NaN   6.59180        9.39785       0.145595                 NaN   8.62680        1.06643        42.9803        31.1912     
  1085.16        2500.00                 NaN            NaN            NaN            NaN            NaN   3.59916       0.373036E-001   12.6338                 NaN   8.74351        1.01027        42.7774        31.1986     
  1083.67        2500.00                 NaN            NaN            NaN            NaN            NaN   6.64961        9.45038       0.379371E-001            NaN   8.63102        1.06560        42.9732        31.1922     
  1082.18        2500.00                 NaN            NaN            NaN            NaN            NaN   3.78727        12.4853                 NaN            NaN   8.74775        1.00920        42.7709        31.1996     
  1080.68        2500.00                 NaN            NaN            NaN            NaN            NaN   12.0439        4.42546                 NaN            NaN   8.61780       0.954264        42.7074        31.2512     
  1079.19        2500.00                 NaN            NaN            NaN            NaN            NaN   6.70961        9.43249       0.615143E-003            NaN   8.63858        1.06378        42.9612        31.1937     
  1077.69        2500.00                 NaN            NaN            NaN            NaN  0.158127E-004   4.00108        12.2760                 NaN            NaN   8.75512        1.00730        42.7591        31.2014     
  1076.20        2500.00                 NaN            NaN            NaN            NaN            NaN   6.82979        7.24760        2.10599                 NaN   8.66477        1.04976        42.9051        31.1970     
  1074.71        2500.00                 NaN            NaN            NaN            NaN            NaN   4.63636        11.6531                 NaN            NaN   8.76026        1.00410        42.7423        31.2038     
  1073.21        2500.00                 NaN            NaN            NaN            NaN            NaN   6.76668        9.36018       0.235641E-001            NaN   8.64906        1.06106        42.9435        31.1960     
  1071.72        2500.00                 NaN            NaN            NaN            NaN            NaN   6.78364        9.34498       0.237591E-001            NaN   8.65161        1.06039        42.9391        31.1965     
  1070.22        2500.00                 NaN            NaN            NaN            NaN            NaN   6.79902        9.33120       0.240769E-001            NaN   8.65416        1.05972        42.9347        31.1971     
  1068.73        2500.00                 NaN            NaN            NaN            NaN            NaN   6.81367        9.31822       0.243318E-001            NaN   8.65672        1.05905        42.9303        31.1977     
  1067.23        2500.00                 NaN            NaN            NaN            NaN            NaN   6.83407        9.31964       0.425653E-002            NaN   8.65898        1.05846        42.9263        31.1983     
  1065.74        2500.00                 NaN            NaN            NaN            NaN            NaN   6.84878        9.30683       0.433319E-002            NaN   8.66153        1.05778        42.9219        31.1988     
  1064.25        2500.00                 NaN            NaN            NaN            NaN            NaN   6.85837        9.28186       0.218489E-001            NaN   8.66431        1.05705        42.9171        31.1994     
  1062.75        2500.00                 NaN            NaN            NaN            NaN            NaN   6.87271        9.26904       0.223355E-001            NaN   8.66687        1.05636        42.9127        31.2000     
  1061.26        2500.00                 NaN            NaN            NaN            NaN            NaN   6.88716        9.25609       0.228607E-001            NaN   8.66943        1.05568        42.9082        31.2006     
  1059.76        2500.00                 NaN            NaN            NaN            NaN            NaN   6.90623        9.26167                 NaN            NaN   8.67169        1.05508        42.9041        31.2012     
  1058.27        2500.00                 NaN            NaN            NaN            NaN            NaN   6.92017        9.24978                 NaN            NaN   8.67423        1.05439        42.8996        31.2018     
  1056.78        2500.00                 NaN            NaN            NaN            NaN            NaN   6.93366        9.23833                 NaN            NaN   8.67679        1.05371        42.8951        31.2024     
  1055.28        2500.00                 NaN            NaN            NaN            NaN            NaN   6.94708        9.22699                 NaN            NaN   8.67933        1.05302        42.8905        31.2031     
  1053.79        2500.00                 NaN            NaN            NaN            NaN            NaN   6.94584        9.23107                 NaN            NaN   8.68307        1.05182        42.8844        31.2037     
  1052.29        2500.00                 NaN            NaN            NaN            NaN            NaN   6.94195        9.23798                 NaN            NaN   8.68706        1.05052        42.8780        31.2045     
  1050.80        2500.00                 NaN            NaN            NaN            NaN            NaN   6.93840        9.24476                 NaN            NaN   8.69097        1.04922        42.8715        31.2052     
  1049.31        2500.00                 NaN            NaN            NaN            NaN            NaN   6.93571        9.25081                 NaN            NaN   8.69480        1.04796        42.8648        31.2059     
  1047.81        2500.00                 NaN            NaN            NaN            NaN            NaN   6.93301        9.25691                 NaN            NaN   8.69865        1.04669        42.8581        31.2066     
  1046.32        2500.00                 NaN            NaN            NaN            NaN            NaN   6.93049        9.26283                 NaN            NaN   8.70248        1.04542        42.8514        31.2073     
  1044.82        2500.00                 NaN            NaN            NaN            NaN            NaN   6.92811        9.26864                 NaN            NaN   8.70631        1.04415        42.8447        31.2081     
  1043.33        2500.00                 NaN            NaN            NaN            NaN            NaN   6.92591        9.27429                 NaN            NaN   8.71014        1.04287        42.8380        31.2088     
  1041.84        2500.00                 NaN            NaN            NaN            NaN            NaN   13.9635        2.43546                 NaN            NaN   8.87525       0.953445        42.5590        31.2134     
