|6.6.6
Archiving\03_Data\Deq/QFM_m1/YM20/YM20_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1179.49        2500.00                 NaN            NaN   50.1788        1.26593        30.1660        10.0990        5.00331        3.28699                 NaN
  1176.28        2500.00                 NaN            NaN   50.1785        1.26596        30.1660        10.0990        5.00334        3.28717                 NaN
  1173.08        2500.00                 NaN            NaN   50.1782        1.26599        30.1661        10.0990        5.00337        3.28736                 NaN
  1169.87        2500.00                 NaN            NaN   50.1779        1.26602        30.1661        10.0990        5.00340        3.28754                 NaN
  1166.67        2500.00                 NaN            NaN   50.1776        1.26605        30.1662        10.0990        5.00344        3.28773                 NaN
  1163.46        2500.00                 NaN            NaN   50.1773        1.26608        30.1663        10.0989        5.00347        3.28791                 NaN
  1160.26        2500.00                 NaN            NaN   50.1770        1.26611        30.1663        10.0989        5.00350        3.28810                 NaN
  1157.05        2500.00                 NaN            NaN   50.1767        1.26614        30.1664        10.0989        5.00353        3.28828                 NaN
  1153.85        2500.00                 NaN            NaN   50.1724        1.31556        30.1746        4.88951        10.0789        3.36901                 NaN
  1150.64        2500.00                 NaN            NaN   50.1721        1.31559        30.1747        4.88955        10.0789        3.36920                 NaN
  1147.44        2500.00                 NaN            NaN   50.1718        1.31562        30.1747        4.88958        10.0789        3.36939                 NaN
  1144.23        2500.00                 NaN            NaN   50.1715        1.31566        30.1748        4.88961        10.0789        3.36958                 NaN
  1141.03        2500.00                 NaN            NaN   50.1712        1.31569        30.1749        4.88964        10.0789        3.36977                 NaN
  1137.82        2500.00                 NaN            NaN   50.1709        1.31572        30.1749        4.88968        10.0789        3.36995                 NaN
  1134.62        2500.00                 NaN            NaN   50.1706        1.31575        30.1750        4.88971        10.0788        3.37014                 NaN
  1131.41        2500.00                 NaN            NaN   50.1703        1.31578        30.1751        4.88974        10.0788        3.37033                 NaN
  1128.21        2500.00                 NaN            NaN   50.1558        1.36879        30.1953        10.0651        4.77782        3.43728                 NaN
  1125.00        2500.00                 NaN            NaN   50.1555        1.36882        30.1953        10.0651        4.77786        3.43747                 NaN
  1121.79        2500.00                 NaN            NaN   50.1551        1.36885        30.1954        10.0650        4.77789        3.43766                 NaN
  1118.59        2500.00                 NaN            NaN   50.1548        1.36888        30.1955        10.0650        4.77792        3.43785                 NaN
  1115.38        2500.00                 NaN            NaN   50.1545        1.36892        30.1956        10.0650        4.77796        3.43804                 NaN
  1112.18        2500.00                 NaN            NaN   50.1542        1.36895        30.1956        10.0650        4.77799        3.43824                 NaN
  1108.97        2500.00                 NaN            NaN   50.1539        1.36898        30.1957        10.0650        4.77802        3.43843                 NaN
  1105.77        2500.00                 NaN            NaN   50.1536        1.36901        30.1958        10.0650        4.77806        3.43862                 NaN
  1102.56        2500.00                 NaN            NaN   50.1302        1.42533        30.2280        10.0581        4.66534        3.49304                 NaN
  1099.36        2500.00                 NaN            NaN   50.1298        1.42536        30.2281        10.0581        4.66537        3.49323                 NaN
  1096.15        2500.00                 NaN            NaN   50.1295        1.42539        30.2282        10.0581        4.66541        3.49342                 NaN
  1092.95        2500.00                 NaN            NaN   50.1292        1.42542        30.2282        10.0581        4.66544        3.49362                 NaN
  1089.74        2500.00                 NaN            NaN   50.1289        1.42546        30.2283        10.0581        4.66547        3.49381                 NaN
  1086.54        2500.00                 NaN            NaN   50.1286        1.42549        30.2284        10.0580        4.66551        3.49401                 NaN
  1083.33        2500.00                 NaN            NaN   50.1283        1.42552        30.2285        10.0580        4.66554        3.49420                 NaN
  1080.13        2500.00                 NaN            NaN   50.1279        1.42555        30.2285        10.0580        4.66557        3.49440                 NaN
  1076.92        2500.00                 NaN            NaN   50.0931        1.48631        30.2755        4.55289        10.0575        3.53465                 NaN
  1073.72        2500.00                 NaN            NaN   50.0928        1.48635        30.2755        4.55292        10.0575        3.53485                 NaN
  1070.51        2500.00                 NaN            NaN   50.0925        1.48638        30.2756        4.55295        10.0575        3.53505                 NaN
  1067.31        2500.00                 NaN            NaN   50.0922        1.48641        30.2757        4.55299        10.0575        3.53524                 NaN
  1064.10        2500.00                 NaN            NaN   50.0918        1.48645        30.2758        4.55302        10.0575        3.53544                 NaN
  1060.90        2500.00                 NaN            NaN   50.0915        1.48648        30.2759        4.55306        10.0574        3.53563                 NaN
  1057.69        2500.00                 NaN            NaN   50.0912        1.48651        30.2759        4.55309        10.0574        3.53583                 NaN
  1054.49        2500.00                 NaN            NaN   50.0909        1.48655        30.2760        4.55313        10.0574        3.53603                 NaN
  1051.28        2500.00                 NaN            NaN   50.0447        1.55217        30.3371        4.44040        10.0641        3.56159                 NaN
  1048.08        2500.00                 NaN            NaN   50.0443        1.55221        30.3372        4.44043        10.0641        3.56179                 NaN
  1044.87        2500.00                 NaN            NaN   50.0440        1.55224        30.3373        4.44047        10.0640        3.56198                 NaN
  1041.67        2500.00                 NaN            NaN   50.0437        1.55228        30.3373        4.44050        10.0640        3.56218                 NaN
  1038.46        2500.00                 NaN            NaN   50.0434        1.55231        30.3374        4.44054        10.0640        3.56238                 NaN
  1035.26        2500.00                 NaN            NaN   50.0430        1.55235        30.3375        4.44057        10.0640        3.56257                 NaN
  1032.05        2500.00                 NaN            NaN   50.0427        1.55238        30.3376        4.44061        10.0640        3.56277                 NaN
  1028.85        2500.00                 NaN            NaN   50.0424        1.55241        30.3377        4.44064        10.0639        3.56297                 NaN
  1025.64        2500.00                 NaN            NaN   49.9809        1.62431        30.4175        4.32506        10.0843        3.56792                 NaN
  1022.44        2500.00                 NaN            NaN   49.9806        1.62435        30.4176        4.32509        10.0842        3.56812                 NaN
  1019.23        2500.00                 NaN            NaN   49.9803        1.62438        30.4177        4.32513        10.0842        3.56832                 NaN
  1016.03        2500.00                 NaN            NaN   49.9799        1.62442        30.4178        4.32516        10.0842        3.56851                 NaN
  1012.82        2500.00                 NaN            NaN   49.9451        1.66243        30.4621        10.0935        4.26881        3.56803                 NaN
  1009.62        2500.00                 NaN            NaN   49.9355        1.67257        30.4739        4.25476        10.0973        3.56528       0.760201E-003
  1006.41        2500.00                 NaN            NaN   49.9259        1.68235        30.4862        4.23951        10.1005        3.56402       0.163311E-002
  1003.21        2500.00                 NaN            NaN   49.9255        1.68239        30.4863        4.23954        10.1004        3.56422       0.163309E-002
  1000.00        2500.00                 NaN            NaN   49.9056        1.70276        30.5109        4.21002        10.1078        3.55877       0.417619E-002
