|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           Opx(TH)        an             San(TH)        ilm            q             
  1201.27        2500.00                 NaN   9.69497                 NaN            NaN  0.243447E-001            NaN   7.67273        47.6235       0.810004        34.1745     
  1200.12        2500.00                 NaN   9.85006                 NaN            NaN            NaN            NaN   7.68903        47.5553       0.801664        34.1039     
  1198.96        2500.00                 NaN   9.84319                 NaN            NaN            NaN            NaN   7.68717        47.5641       0.802860        34.1026     
  1197.80        2500.00                 NaN   9.87148                 NaN            NaN            NaN            NaN   7.70268        47.5184       0.796718        34.1107     
  1196.65        2500.00                 NaN   9.86017                 NaN            NaN            NaN            NaN   7.69726        47.5346       0.799268        34.1087     
  1195.49        2500.00                 NaN   9.86657                 NaN            NaN            NaN            NaN   7.70184        47.5228       0.797766        34.1110     
  1194.33        2500.00                 NaN   9.87367                 NaN            NaN            NaN            NaN   7.70668        47.5101       0.796047        34.1135     
  1193.18        2500.00                 NaN   2.59325        7.24772                 NaN            NaN            NaN   7.69033        47.5609       0.802500        34.1053     
  1192.02        2500.00                 NaN   1.92250        7.94343                 NaN            NaN            NaN   7.70487        47.5196       0.796998        34.1126     
  1190.86        2500.00                 NaN   9.86960                 NaN            NaN            NaN            NaN   7.70680        47.5120       0.796649        34.1149     
  1189.71        2500.00                 NaN   2.54090        7.33022                 NaN            NaN            NaN   7.70984        47.5080       0.795595        34.1154     
  1188.55        2500.00                 NaN   3.02613        6.84156                 NaN            NaN            NaN   7.70876        47.5128       0.795911        34.1149     
  1187.39        2500.00                 NaN   4.04901        5.81964                 NaN            NaN            NaN   7.71259        47.5075       0.795629        34.1156     
  1186.24        2500.00                 NaN   7.25135        2.58773       0.780142E-004            NaN            NaN   7.68712        47.5639       0.800968        34.1088     
  1185.08        2500.00                 NaN   7.42869        2.41144                 NaN            NaN            NaN   7.68890        47.5607       0.800606        34.1097     
  1183.92        2500.00                 NaN   7.50382        2.33763                 NaN            NaN            NaN   7.69073        47.5569       0.800224        34.1107     
  1182.77        2500.00                 NaN   7.50006        2.34292                 NaN            NaN            NaN   7.69253        47.5529       0.799834        34.1118     
  1181.61        2500.00                 NaN   7.49615        2.34838                 NaN            NaN            NaN   7.69434        47.5488       0.799440        34.1129     
  1180.45        2500.00                 NaN   7.49245        2.35366                 NaN            NaN            NaN   7.69615        47.5446       0.799043        34.1141     
  1179.29        2500.00                 NaN   7.48890        2.35879                 NaN            NaN            NaN   7.69795        47.5405       0.798645        34.1152     
  1178.14        2500.00                 NaN   7.48539        2.36388                 NaN            NaN            NaN   7.69976        47.5364       0.798248        34.1163     
  1176.98        2500.00                 NaN   7.48094        2.36991                 NaN            NaN            NaN   7.70157        47.5323       0.797847        34.1174     
  1175.82        2500.00                 NaN   7.47803        2.37442                 NaN            NaN            NaN   7.70338        47.5281       0.797445        34.1186     
  1174.67        2500.00                 NaN   7.47456        2.37949                 NaN            NaN            NaN   7.70519        47.5240       0.797040        34.1197     
  1173.51        2500.00                 NaN   7.47111        2.38456                 NaN            NaN            NaN   7.70701        47.5198       0.796634        34.1209     
  1172.35        2500.00                 NaN   7.46778        2.38952                 NaN            NaN            NaN   7.70882        47.5157       0.796227        34.1220     
  1171.20        2500.00                 NaN   7.46473        2.39420                 NaN            NaN            NaN   7.71063        47.5115       0.795819        34.1231     
  1170.04        2500.00                 NaN   7.46132        2.39925                 NaN            NaN            NaN   7.71245        47.5073       0.795407        34.1243     
  1168.88        2500.00                 NaN   7.45777        2.40445                 NaN            NaN            NaN   7.71427        47.5031       0.794993        34.1254     
  1167.73        2500.00                 NaN   7.45488        2.40901                 NaN            NaN            NaN   7.71610        47.4989       0.794578        34.1266     
  1166.57        2500.00                 NaN   7.45175        2.41380                 NaN            NaN            NaN   7.71792        47.4946       0.794162        34.1277     
  1165.41        2500.00                 NaN   7.44888        2.41837                 NaN            NaN            NaN   7.71973        47.4904       0.793745        34.1289     
  1164.26        2500.00                 NaN   7.44583        2.42309                 NaN            NaN            NaN   7.72156        47.4861       0.793324        34.1301     
  1163.10        2500.00                 NaN   7.44288        2.42773                 NaN            NaN            NaN   7.72339        47.4819       0.792903        34.1312     
  1161.94        2500.00                 NaN   7.43997        2.43235                 NaN            NaN            NaN   7.72522        47.4776       0.792478        34.1324     
  1160.79        2500.00                 NaN   7.43728        2.43675                 NaN            NaN            NaN   7.72704        47.4733       0.792053        34.1335     
  1159.63        2500.00                 NaN   7.43471        2.44104                 NaN            NaN            NaN   7.72887        47.4691       0.791626        34.1347     
  1158.47        2500.00                 NaN   7.43205        2.44543                 NaN            NaN            NaN   7.73071        47.4648       0.791197        34.1359     
  1157.32        2500.00                 NaN   7.42952        2.44970                 NaN            NaN            NaN   7.73254        47.4604       0.790766        34.1370     
  1156.16        2500.00                 NaN   7.42701        2.45396                 NaN            NaN            NaN   7.73438        47.4561       0.790334        34.1382     
  1155.00        2500.00                 NaN   7.42420        2.45852                 NaN            NaN            NaN   7.73621        47.4518       0.789900        34.1394     
  1153.85        2500.00                 NaN   7.42191        2.46258                 NaN            NaN            NaN   7.73805        47.4474       0.789464        34.1406     
  1152.69        2500.00                 NaN   7.42006        2.46621                 NaN            NaN            NaN   7.73989        47.4431       0.789026        34.1417     
  1151.53        2500.00                 NaN   7.41747        2.47058                 NaN            NaN            NaN   7.74173        47.4387       0.788587        34.1429     
  1150.38        2500.00                 NaN   7.41579        2.47406                 NaN            NaN            NaN   7.74356        47.4344       0.788147        34.1441     
  1149.22        2500.00                 NaN   7.32752        2.56387                 NaN            NaN            NaN   7.74504        47.4307       0.787708        34.1452     
  1148.06        2500.00                 NaN   7.32413        2.56906                 NaN            NaN            NaN   7.74688        47.4263       0.787264        34.1464     
  1146.91        2500.00                 NaN   7.32031        2.57470                 NaN            NaN            NaN   7.74872        47.4219       0.786818        34.1476     
  1145.75        2500.00                 NaN   7.31713        2.57969                 NaN            NaN            NaN   7.75056        47.4175       0.786370        34.1488     
  1144.59        2500.00                 NaN   7.31399        2.58467                 NaN            NaN            NaN   7.75241        47.4131       0.785921        34.1499     
  1143.44        2500.00                 NaN   7.31083        2.58968                 NaN            NaN            NaN   7.75425        47.4086       0.785470        34.1511     
  1142.28        2500.00                 NaN   7.30761        2.59472                 NaN            NaN            NaN   7.75610        47.4042       0.785019        34.1523     
  1141.12        2500.00                 NaN   7.30448        2.59970                 NaN            NaN            NaN   7.75795        47.3998       0.784564        34.1535     
  1139.97        2500.00                 NaN   7.30148        2.60457                 NaN            NaN            NaN   7.75981        47.3953       0.784108        34.1547     
  1138.81        2500.00                 NaN   7.29862        2.60930                 NaN            NaN            NaN   7.76166        47.3909       0.783650        34.1559     
  1137.65        2500.00                 NaN   7.29586        2.61396                 NaN            NaN            NaN   7.76351        47.3864       0.783191        34.1571     
  1136.50        2500.00                 NaN   7.29304        2.61865                 NaN            NaN            NaN   7.76537        47.3819       0.782729        34.1583     
  1135.34        2500.00                 NaN   7.29043        2.62315                 NaN            NaN            NaN   7.76723        47.3774       0.782267        34.1595     
  1134.18        2500.00                 NaN   7.28778        2.62771                 NaN            NaN            NaN   7.76909        47.3729       0.781802        34.1607     
  1133.03        2500.00                 NaN   7.28527        2.63213                 NaN            NaN            NaN   7.77095        47.3684       0.781336        34.1619     
  1131.87        2500.00                 NaN   7.28283        2.63649                 NaN            NaN            NaN   7.77281        47.3638       0.780869        34.1632     
  1130.71        2500.00                 NaN   7.28046        2.64080                 NaN            NaN            NaN   7.77467        47.3593       0.780399        34.1644     
  1129.56        2500.00                 NaN   7.27673        2.64646                 NaN            NaN            NaN   7.77653        47.3548       0.779928        34.1656     
  1128.40        2500.00                 NaN   7.27609        2.64905                 NaN            NaN            NaN   7.77840        47.3502       0.779456        34.1668     
  1127.24        2500.00                 NaN   7.27401        2.65309                 NaN            NaN            NaN   7.78027        47.3456       0.778981        34.1680     
  1126.08        2500.00                 NaN   7.27198        2.65708                 NaN            NaN            NaN   7.78214        47.3411       0.778505        34.1692     
  1124.93        2500.00                 NaN   7.27005        2.66098                 NaN            NaN            NaN   7.78401        47.3365       0.778028        34.1705     
  1123.77        2500.00                 NaN   7.26823        2.66479                 NaN            NaN            NaN   7.78588        47.3319       0.777549        34.1717     
  1122.61        2500.00                 NaN   7.26645        2.66855                 NaN            NaN            NaN   7.78775        47.3273       0.777068        34.1729     
  1121.46        2500.00                 NaN   7.26483        2.67217                 NaN            NaN            NaN   7.78963        47.3226       0.776586        34.1741     
  1120.30        2500.00                 NaN   7.26324        2.67576                 NaN            NaN            NaN   7.79150        47.3180       0.776103        34.1754     
  1119.14        2500.00                 NaN   7.26176        2.67924                 NaN            NaN            NaN   7.79338        47.3134       0.775617        34.1766     
  1117.99        2500.00                 NaN   7.26039        2.68264                 NaN            NaN            NaN   7.79526        47.3087       0.775130        34.1778     
  1116.83        2500.00                 NaN   7.25907        2.68599                 NaN            NaN            NaN   7.79714        47.3041       0.774642        34.1791     
  1115.67        2500.00                 NaN   7.25788        2.68923                 NaN            NaN            NaN   7.79902        47.2994       0.774153        34.1803     
  1114.52        2500.00                 NaN   7.25678        2.69237                 NaN            NaN            NaN   7.80090        47.2947       0.773661        34.1816     
  1113.36        2500.00                 NaN   7.25549        2.69572                 NaN            NaN            NaN   7.80279        47.2900       0.773168        34.1828     
  1112.20        2500.00                 NaN   7.25479        2.69848                 NaN            NaN            NaN   7.80467        47.2853       0.772673        34.1840     
  1111.05        2500.00                 NaN   7.25375        2.70160                 NaN            NaN            NaN   7.80656        47.2806       0.772177        34.1853     
  1109.89        2500.00                 NaN   7.25309        2.70433                 NaN            NaN            NaN   7.80845        47.2759       0.771680        34.1865     
  1108.73        2500.00                 NaN   7.25227        2.70722                 NaN            NaN            NaN   7.81034        47.2712       0.771181        34.1878     
  1107.58        2500.00                 NaN   7.25171        2.70989                 NaN            NaN            NaN   7.81223        47.2664       0.770682        34.1890     
  1106.42        2500.00                 NaN   7.25118        2.71252                 NaN            NaN            NaN   7.81412        47.2617       0.770180        34.1903     
  1105.26        2500.00                 NaN   7.25066        2.71514                 NaN            NaN            NaN   7.81601        47.2570       0.769677        34.1916     
  1104.11        2500.00                 NaN   7.25018        2.71774                 NaN            NaN            NaN   7.81791        47.2522       0.769173        34.1928     
  1102.95        2500.00                 NaN   7.24987        2.72016                 NaN            NaN            NaN   7.81980        47.2474       0.768667        34.1941     
  1101.79        2500.00                 NaN   7.24962        2.72257                 NaN            NaN            NaN   7.82170        47.2426       0.768161        34.1953     
  1100.64        2500.00                 NaN   7.24943        2.72490                 NaN            NaN            NaN   7.82359        47.2378       0.767652        34.1966     
  1099.48        2500.00                 NaN   7.24932        2.72716                 NaN            NaN            NaN   7.82549        47.2330       0.767142        34.1979     
  1098.32        2500.00                 NaN   7.24923        2.72940                 NaN            NaN            NaN   7.82739        47.2282       0.766632        34.1991     
  1097.17        2500.00                 NaN   7.24919        2.73160                 NaN            NaN            NaN   7.82929        47.2234       0.766120        34.2004     
  1096.01        2500.00                 NaN   7.24918        2.73377                 NaN            NaN            NaN   7.83119        47.2186       0.765606        34.2017     
  1094.85        2500.00                 NaN   7.24939        2.73575                 NaN            NaN            NaN   7.83309        47.2137       0.765092        34.2029     
  1093.70        2500.00                 NaN   7.24956        2.73777                 NaN            NaN            NaN   7.83500        47.2089       0.764576        34.2042     
  1092.54        2500.00                 NaN   7.24977        2.73976                 NaN            NaN            NaN   7.83690        47.2040       0.764059        34.2055     
  1091.38        2500.00                 NaN   7.25000        2.74172                 NaN            NaN            NaN   7.83881        47.1992       0.763541        34.2068     
  1090.23        2500.00                 NaN   7.25032        2.74362                 NaN            NaN            NaN   7.84071        47.1943       0.763021        34.2080     
  1089.07        2500.00                 NaN   7.25064        2.74551                 NaN            NaN            NaN   7.84262        47.1894       0.762501        34.2093     
  1087.91        2500.00                 NaN   7.25104        2.74733                 NaN            NaN            NaN   7.84452        47.1845       0.761979        34.2106     
  1086.76        2500.00                 NaN   7.25144        2.74916                 NaN            NaN            NaN   7.84643        47.1796       0.761456        34.2119     
  1085.60        2500.00                 NaN   7.25177        2.75105                 NaN            NaN            NaN   7.84834        47.1747       0.760932        34.2132     
  1084.44        2500.00                 NaN   7.25221        2.75287                 NaN            NaN            NaN   7.85025        47.1698       0.760407        34.2145     
  1083.29        2500.00                 NaN   7.25284        2.75449                 NaN            NaN            NaN   7.85216        47.1649       0.759881        34.2158     
  1082.13        2500.00                 NaN   7.25333        2.75625                 NaN            NaN            NaN   7.85407        47.1599       0.759354        34.2171     
  1080.97        2500.00                 NaN   7.25384        2.75801                 NaN            NaN            NaN   7.85598        47.1550       0.758827        34.2183     
  1079.82        2500.00                 NaN   7.25439        2.75973                 NaN            NaN            NaN   7.85789        47.1500       0.758298        34.2196     
  1078.66        2500.00                 NaN   7.25482        2.76156                 NaN            NaN            NaN   7.85981        47.1451       0.757767        34.2209     
  1077.50        2500.00                 NaN   7.25546        2.76322                 NaN            NaN            NaN   7.86171        47.1401       0.757237        34.2222     
  1076.34        2500.00                 NaN   7.25599        2.76498                 NaN            NaN            NaN   7.86363        47.1352       0.756706        34.2235     
  1075.19        2500.00                 NaN   7.25653        2.76674                 NaN            NaN            NaN   7.86554        47.1302       0.756173        34.2248     
  1074.03        2500.00                 NaN   7.25703        2.76854                 NaN            NaN            NaN   7.86745        47.1252       0.755640        34.2261     
  1072.87        2500.00                 NaN   7.25754        2.77034                 NaN            NaN            NaN   7.86937        47.1202       0.755106        34.2275     
  1071.72        2500.00                 NaN   7.25801        2.77219                 NaN            NaN            NaN   7.87128        47.1152       0.754571        34.2288     
  1070.56        2500.00                 NaN   7.25847        2.77405                 NaN            NaN            NaN   7.87319        47.1102       0.754035        34.2301     
  1069.40        2500.00                 NaN   7.25891        2.77593                 NaN            NaN            NaN   7.87511        47.1052       0.753499        34.2314     
  1068.25        2500.00                 NaN   7.25932        2.77786                 NaN            NaN            NaN   7.87702        47.1001       0.752962        34.2327     
  1067.09        2500.00                 NaN   7.25965        2.77986                 NaN            NaN            NaN   7.87893        47.0951       0.752424        34.2340     
  1065.93        2500.00                 NaN   7.25997        2.78189                 NaN            NaN            NaN   7.88085        47.0901       0.751885        34.2353     
  1064.78        2500.00                 NaN   7.26020        2.78402                 NaN            NaN            NaN   7.88276        47.0850       0.751346        34.2366     
  1063.62        2500.00                 NaN   7.26045        2.78612                 NaN            NaN            NaN   7.88467        47.0800       0.750807        34.2380     
  1062.46        2500.00                 NaN   7.26061        2.78833                 NaN            NaN            NaN   7.88659        47.0749       0.750266        34.2393     
  1061.31        2500.00                 NaN   7.26075        2.79056                 NaN            NaN            NaN   7.88850        47.0699       0.749725        34.2406     
  1060.15        2500.00                 NaN   7.26069        2.79298                 NaN            NaN            NaN   7.89042        47.0648       0.749184        34.2419     
  1058.99        2500.00                 NaN   7.26077        2.79529                 NaN            NaN            NaN   7.89233        47.0597       0.748642        34.2432     
  1057.84        2500.00                 NaN   7.26069        2.79775                 NaN            NaN            NaN   7.89424        47.0546       0.748100        34.2446     
  1056.68        2500.00                 NaN   7.26052        2.80031                 NaN            NaN            NaN   7.89615        47.0496       0.747557        34.2459     
  1055.52        2500.00                 NaN   7.26028        2.80295                 NaN            NaN            NaN   7.89806        47.0445       0.747014        34.2472     
  1054.37        2500.00                 NaN   7.25998        2.80565                 NaN            NaN            NaN   7.89997        47.0394       0.746471        34.2486     
  1053.21        2500.00                 NaN   7.25956        2.80847                 NaN            NaN            NaN   7.90188        47.0343       0.745927        34.2499     
  1052.05        2500.00                 NaN   7.25909        2.81135                 NaN            NaN            NaN   7.90379        47.0291       0.745383        34.2512     
  1050.90        2500.00                 NaN   7.25851        2.81436                 NaN            NaN            NaN   7.90570        47.0240       0.744838        34.2526     
  1049.74        2500.00                 NaN   7.25785        2.81743                 NaN            NaN            NaN   7.90761        47.0189       0.744293        34.2539     
  1048.58        2500.00                 NaN   7.25709        2.82062                 NaN            NaN            NaN   7.90952        47.0138       0.743749        34.2552     
  1047.43        2500.00                 NaN   7.25624        2.82390                 NaN            NaN            NaN   7.91142        47.0087       0.743203        34.2566     
  1046.27        2500.00                 NaN   7.25528        2.82730                 NaN            NaN            NaN   7.91333        47.0035       0.742658        34.2579     
  1045.11        2500.00                 NaN   1.94406       0.597984E-005   8.07680                 NaN            NaN   7.84196        47.1300       0.759537        34.2477     
  1043.96        2500.00                 NaN   7.25307        2.83438                 NaN            NaN            NaN   7.91714        46.9932       0.741567        34.2606     
  1042.80        2500.00                 NaN   7.25180        2.83810                 NaN            NaN            NaN   7.91904        46.9881       0.741022        34.2620     
  1041.64        2500.00                 NaN   7.25044        2.84191                 NaN            NaN            NaN   7.92094        46.9829       0.740476        34.2633     
  1040.49        2500.00                 NaN   7.24850        2.84623                 NaN            NaN            NaN   7.92286        46.9778       0.739928        34.2647     
  1039.33        2500.00                 NaN   7.24691        2.85028                 NaN            NaN            NaN   7.92476        46.9726       0.739382        34.2660     
  1038.17        2500.00                 NaN   7.24524        2.85441                 NaN            NaN            NaN   7.92665        46.9675       0.738837        34.2674     
  1037.02        2500.00                 NaN   7.24344        2.85868                 NaN            NaN            NaN   7.92855        46.9623       0.738291        34.2687     
  1035.86        2500.00                 NaN   7.15234        2.96116                 NaN            NaN            NaN   7.93691        46.9419       0.735536        34.2721     
  1034.70        2500.00                 NaN   7.14921        2.96692                 NaN            NaN            NaN   7.93892        46.9365       0.734951        34.2735     
  1033.55        2500.00                 NaN   7.14593        2.97284                 NaN            NaN            NaN   7.94094        46.9310       0.734365        34.2749     
  1032.39        2500.00                 NaN   7.14258        2.97884                 NaN            NaN            NaN   7.94296        46.9255       0.733779        34.2763     
  1031.23        2500.00                 NaN   7.13909        2.98498                 NaN            NaN            NaN   7.94497        46.9201       0.733193        34.2777     
  1030.08        2500.00                 NaN   7.13547        2.99125                 NaN            NaN            NaN   7.94699        46.9146       0.732606        34.2791     
  1028.92        2500.00                 NaN   7.13131        2.99806                 NaN            NaN            NaN   7.94900        46.9091       0.732022        34.2805     
  1027.76        2500.00                 NaN   7.11983        3.01195                 NaN            NaN            NaN   7.95085        46.9040       0.731485        34.2818     
  1026.61        2500.00                 NaN   7.10844        3.02576                 NaN            NaN            NaN   7.95271        46.8990       0.730948        34.2832     
  1025.45        2500.00                 NaN   7.09716        3.03946                 NaN            NaN            NaN   7.95456        46.8939       0.730411        34.2845     
  1024.29        2500.00                 NaN   7.08597        3.05308                 NaN            NaN            NaN   7.95642        46.8888       0.729874        34.2859     
  1023.13        2500.00                 NaN   7.07488        3.06661                 NaN            NaN            NaN   7.95828        46.8837       0.729336        34.2872     
  1021.98        2500.00                 NaN   7.06389        3.08003                 NaN            NaN            NaN   7.96013        46.8786       0.728798        34.2885     
  1020.82        2500.00                 NaN   7.05299        3.09338                 NaN            NaN            NaN   7.96199        46.8735       0.728259        34.2899     
  1019.66        2500.00                 NaN   7.04218        3.10664                 NaN            NaN            NaN   7.96385        46.8684       0.727720        34.2912     
  1018.51        2500.00                 NaN   7.03147        3.11981                 NaN            NaN            NaN   7.96572        46.8632       0.727181        34.2926     
  1017.35        2500.00                 NaN   7.02086        3.13289                 NaN            NaN            NaN   7.96758        46.8581       0.726641        34.2939     
  1016.19        2500.00                 NaN   7.01033        3.14588                 NaN            NaN            NaN   7.96945        46.8529       0.726101        34.2953     
  1015.04        2500.00                 NaN   6.99991        3.15878                 NaN            NaN            NaN   7.97131        46.8478       0.725560        34.2967     
  1013.88        2500.00                 NaN   6.98957        3.17160                 NaN            NaN            NaN   7.97318        46.8426       0.725019        34.2980     
  1012.72        2500.00                 NaN   6.97934        3.18433                 NaN            NaN            NaN   7.97505        46.8374       0.724477        34.2994     
  1011.57        2500.00                 NaN   6.96919        3.19697                 NaN            NaN            NaN   7.97692        46.8322       0.723935        34.3007     
  1010.41        2500.00                 NaN   6.95913        3.20953                 NaN            NaN            NaN   7.97880        46.8270       0.723392        34.3021     
  1009.25        2500.00                 NaN   6.94917        3.22201                 NaN            NaN            NaN   7.98067        46.8218       0.722848        34.3035     
  1008.10        2500.00                 NaN   6.93931        3.23439                 NaN            NaN            NaN   7.98255        46.8166       0.722304        34.3048     
  1006.94        2500.00                 NaN   1.33912        8.92721                 NaN            NaN            NaN   8.04885        46.6569       0.701387        34.3265     
  1005.78        2500.00                 NaN  0.999367        4.37490        4.39193                 NaN            NaN   7.78372        47.4628       0.788424        34.1988     
  1004.63        2500.00                 NaN  0.737914        4.61797        4.38522                 NaN            NaN   7.76230        47.5127       0.792525        34.1914     
  1003.47        2500.00                 NaN   1.48316        8.79054                 NaN            NaN            NaN   8.05430        46.6418       0.699736        34.3305     
  1002.31        2500.00                 NaN   1.48467        8.79247                 NaN            NaN            NaN   8.05676        46.6351       0.698983        34.3320     
  1001.16        2500.00                 NaN   9.13489        1.08247                 NaN            NaN            NaN   7.98791        46.7451       0.722619        34.3270     
  1000.00        2500.00                 NaN  0.850636        4.57203        4.32946                 NaN            NaN   7.77251        47.4897       0.788861        34.1968     
